Datetime,ProduceType,InputLevel,SpendResource,Type,ID,Name,Rank
2021-10-07 23:10:49,EQUIP,HEAVY-1,2000/500/2000/1000,OPTICAL,2,LRA 2-12x50,★★★
2021-10-07 23:10:49,EQUIP,HEAVY-1,2000/500/2000/1000,OPTICAL,2,LRA 2-12x50,★★★
2021-10-07 23:10:49,EQUIP,HEAVY-1,2000/500/2000/1000,CLOAK,88,Camouflage Cape,★★★
2021-10-07 23:10:49,EQUIP,HEAVY-1,2000/500/2000/1000,HOLO,6,EOT 512,★★★
2021-10-07 23:10:54,EQUIP,HEAVY-1,2000/500/2000/1000,REDDOT,11,COG M150,★★★★
2021-10-07 23:10:54,EQUIP,HEAVY-1,2000/500/2000/1000,REDDOT,11,COG M150,★★★★
2021-10-07 23:10:54,EQUIP,HEAVY-1,2000/500/2000/1000,FAIRY,10,Reinforcement Fairy,★
2021-10-07 23:10:54,EQUIP,HEAVY-1,2000/500/2000/1000,FAIRY,9,Airstrike Fairy,★
2021-10-08 19:03:51,GUN,NORMAL,130/130/130/30,HG,168,Spitfire,★★★★
2021-10-08 19:03:51,GUN,NORMAL,130/130/130/30,HG,139,Bren Ten,★★
2021-10-08 19:03:51,GUN,NORMAL,130/130/130/30,HG,90,FF FNP9,★★
2021-10-08 19:03:51,GUN,NORMAL,130/130/130/30,HG,90,FF FNP9,★★
2021-10-08 19:03:58,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-10-08 19:03:58,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-10-08 19:03:58,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-10-08 19:03:58,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-08 23:39:57,EQUIP,HEAVY-1,2000/500/2000/1000,FAIRY,8,Artillery Fairy,★
2021-10-08 23:39:57,EQUIP,HEAVY-1,2000/500/2000/1000,NIGHTEQUIP,14,PEQ-5,★★★
2021-10-08 23:40:08,EQUIP,HEAVY-1,2000/500/2000/1000,SUPPRESSOR,64,AC2 Suppressor,★★★
2021-10-08 23:40:10,EQUIP,HEAVY-1,2000/500/2000/1000,TEXO,38,IOP T2 Exoskeleton,★★★
2021-10-09 20:07:21,GUN,NORMAL,130/130/130/30,HG,90,FF FNP9,★★
2021-10-09 20:07:21,GUN,NORMAL,130/130/130/30,HG,141,Gr USPCompact,★★
2021-10-09 20:07:21,GUN,NORMAL,130/130/130/30,HG,91,MP-446,★★
2021-10-09 20:07:21,GUN,NORMAL,130/130/130/30,HG,91,MP-446,★★
2021-10-09 20:07:34,EQUIP,NORMAL,10/10/10/10,OPTICAL,1,BM 3-12X40,★★
2021-10-09 20:07:34,EQUIP,NORMAL,10/10/10/10,NIGHTEQUIP,13,PEQ-2,★★
2021-10-09 20:07:34,EQUIP,NORMAL,10/10/10/10,OPTICAL,1,BM 3-12X40,★★
2021-10-09 20:07:34,EQUIP,NORMAL,10/10/10/10,ARMORPLATE,42,Type 1 Armor Plate,★★★
2021-10-10 19:11:52,GUN,NORMAL,130/130/130/30,HG,9,P38,★★
2021-10-10 19:11:52,GUN,NORMAL,130/130/130/30,HG,3,M9,★★★
2021-10-10 19:11:52,GUN,NORMAL,130/130/130/30,HG,139,Bren Ten,★★
2021-10-10 19:11:52,GUN,NORMAL,130/130/130/30,HG,141,Gr USPCompact,★★
2021-10-10 19:12:00,EQUIP,NORMAL,10/10/10/10,XEXO,56,IOP X2 Exoskeleton,★★★
2021-10-10 19:12:00,EQUIP,NORMAL,10/10/10/10,NIGHTEQUIP,13,PEQ-2,★★
2021-10-10 19:12:00,EQUIP,NORMAL,10/10/10/10,REDDOT,10,AMP COMPM4,★★★
2021-10-10 19:12:00,EQUIP,NORMAL,10/10/10/10,HOLO,8,EOT 518,★★★★★
2021-10-11 19:17:03,GUN,NORMAL,130/130/130/30,HG,91,MP-446,★★
2021-10-11 19:17:03,GUN,NORMAL,130/130/130/30,HG,139,Bren Ten,★★
2021-10-11 19:17:03,GUN,NORMAL,130/130/130/30,HG,90,FF FNP9,★★
2021-10-11 19:17:03,GUN,NORMAL,130/130/130/30,HG,96,Grizzly,★★★★★
2021-10-11 19:17:12,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-10-11 19:17:12,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-10-11 19:17:12,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
