event_id,datetime,prize_id,prize
318,2022-02-07 14:17:49,810,Parts*100
318,2022-02-07 14:17:49,827,Basic Training Data*20
318,2022-02-07 14:17:49,819,Dummy Core*1
318,2022-02-07 14:17:49,40289,prize-10040289
318,2022-02-07 14:17:49,817,Enhancement Capsule*3
318,2022-02-07 14:17:49,810,Parts*100
318,2022-02-07 14:17:49,801,Manpower*100
318,2022-02-07 14:17:49,825,Quick Repair*1
318,2022-02-07 14:17:49,807,Rations*100
318,2022-02-07 14:17:49,825,Quick Repair*1
318,2022-02-07 14:17:51,801,Manpower*100
318,2022-02-07 14:17:51,838,Calibration Ticket*30
318,2022-02-07 14:17:51,818,Enhancement Capsule*4
318,2022-02-07 14:17:51,827,Basic Training Data*20
318,2022-02-07 14:17:51,920,Pure Sample
318,2022-02-07 14:17:51,810,Parts*100
318,2022-02-07 14:17:51,830,Intermediate Training Data*20
318,2022-02-07 14:17:51,830,Intermediate Training Data*20
318,2022-02-07 14:17:51,813,Token*2
318,2022-02-07 14:17:51,828,Basic Training Data*30
318,2022-02-07 14:17:52,878,Memory Fragment*10
318,2022-02-07 14:17:52,839,Battery*20
318,2022-02-07 14:17:52,807,Rations*100
318,2022-02-07 14:17:52,40154,prize-10040154
318,2022-02-07 14:17:52,802,Manpower*200
318,2022-02-07 14:17:52,879,Memory Fragment*20
318,2022-02-07 14:17:52,825,Quick Repair*1
318,2022-02-07 14:17:52,802,Manpower*200
318,2022-02-07 14:17:52,810,Parts*100
318,2022-02-07 14:17:52,920,Pure Sample
318,2022-02-07 14:17:54,840,Battery*30
318,2022-02-07 14:17:54,837,Calibration Ticket*20
318,2022-02-07 14:17:54,815,Token*4
318,2022-02-07 14:17:54,807,Rations*100
318,2022-02-07 14:17:54,811,Parts*200
318,2022-02-07 14:17:54,819,Dummy Core*1
318,2022-02-07 14:17:54,801,Manpower*100
318,2022-02-07 14:17:54,840,Battery*30
318,2022-02-07 14:17:54,827,Basic Training Data*20
318,2022-02-07 14:17:54,803,Manpower*300
318,2022-02-07 14:17:55,822,T-Doll Contract*1
318,2022-02-07 14:17:55,827,Basic Training Data*20
318,2022-02-07 14:17:55,833,Advanced Training Data*20
318,2022-02-07 14:17:55,878,Memory Fragment*10
318,2022-02-07 14:17:55,817,Enhancement Capsule*3
318,2022-02-07 14:17:55,806,Ammo*300
